run,result,preset,score,sim_elapsed_s,wall_sec,targets_collected,targets_total,escape_events,n_patrol,n_aggr,radius
1,success,easy,134,352.0,50.2,3,3,0,2,1,800
2,failed,medium,-65,102.4,16.1,1,5,5,3,2,1000
3,failed,hard,-102,25.6,4.9,0,6,0,4,3,1200
4,success,medium,219,641.6,101.7,5,5,0,3,2,1000
5,success,easy,124,417.6,60.7,3,3,0,2,1,800
6,success,medium,224,843.2,131.0,5,5,0,3,2,1000
7,success,easy,133,228.8,33.1,3,3,0,2,1,800
8,success,hard,245,993.6,168.8,6,6,0,4,3,1200
9,success,medium,207,804.8,124.5,5,5,0,3,2,1000
10,success,hard,222,1200.0,204.5,6,6,1,4,3,1200
11,partial,hard,88,688.0,116.1,5,6,0,4,3,1200
12,success,very_hard,293,1304.0,302.2,7,7,0,5,4,1500
13,failed,easy,-102,115.2,17.0,0,3,3,2,1,800
14,success,hard,257,838.4,144.6,6,6,0,4,3,1200
15,success,medium,226,492.8,76.3,5,5,0,3,2,1000
16,success,very_hard,254,1499.2,339.9,7,7,0,5,4,1500
17,success,hard,277,766.4,128.1,6,6,0,4,3,1200
18,success,easy,141,596.8,85.0,3,3,0,2,1,800
19,success,easy,139,278.4,39.5,3,3,0,2,1,800
20,success,medium,228,584.0,87.5,5,5,0,3,2,1000
21,success,very_hard,302,1096.0,249.0,7,7,0,5,4,1500
22,success,very_hard,291,1462.4,339.5,7,7,0,5,4,1500
23,success,hard,253,1204.8,207.5,6,6,0,4,3,1200
24,success,very_hard,306,1230.4,284.9,7,7,10,5,4,1500
25,success,very_hard,283,1286.4,303.4,7,7,0,5,4,1500
26,success,hard,226,1024.0,175.1,6,6,0,4,3,1200
27,success,hard,237,1166.4,201.6,6,6,0,4,3,1200
28,success,medium,203,976.0,151.9,5,5,0,3,2,1000
29,success,hard,253,1068.8,182.9,6,6,0,4,3,1200
30,success,easy,136,460.8,67.2,3,3,0,2,1,800
31,success,medium,197,1196.8,186.8,5,5,0,3,2,1000
32,success,very_hard,293,1171.2,271.3,7,7,0,5,4,1500
33,success,hard,270,1118.4,194.8,6,6,0,4,3,1200
34,success,very_hard,275,1400.0,326.6,7,7,0,5,4,1500
35,partial,very_hard,108,689.6,182.6,5,7,0,5,4,1500
36,success,easy,130,323.2,45.9,3,3,0,2,1,800
37,success,hard,254,1193.6,201.9,6,6,0,4,3,1200
38,success,medium,223,708.8,107.2,5,5,0,3,2,1000
39,success,hard,226,1076.8,179.8,6,6,0,4,3,1200
40,success,medium,216,910.4,141.5,5,5,0,3,2,1000
41,success,very_hard,271,1216.0,276.8,7,7,0,5,4,1500
42,success,medium,223,846.4,131.9,5,5,0,3,2,1000
43,success,easy,114,579.2,82.3,3,3,0,2,1,800
44,success,easy,136,558.4,78.9,3,3,0,2,1,800
45,success,hard,237,1288.0,222.7,6,6,0,4,3,1200
46,success,easy,132,387.2,55.2,3,3,0,2,1,800
47,success,medium,234,504.0,76.9,5,5,0,3,2,1000
48,success,medium,228,524.8,80.6,5,5,0,3,2,1000
49,failed,hard,-58,232.0,42.1,1,6,0,4,3,1200
50,success,medium,201,907.2,141.1,5,5,0,3,2,1000
